scenario,accuracy_lr,accuracy_svm
clean,0.676923076923077,0.7076923076923077
jpeg_q50,0.6666666666666666,0.6564102564102564
jpeg_q30,0.6615384615384615,0.6461538461538462
blur_5,0.676923076923077,0.6666666666666666
blur_9,0.6820512820512821,0.6717948717948717
noise_10,0.5743589743589743,0.5897435897435898
noise_20,0.5692307692307692,0.5743589743589743
